# Layout:
# Name,IP_Address,Port,TLS_Hostname,SPKI,IPv4/IPv6
# Empty lines are ignored

# IPv4
Cloudflare 1 (family),2606:4700:4700::1113,,family.cloudflare-dns.com,,IPv6
Cloudflare 2 (family),2606:4700:4700::1003,,family.cloudflare-dns.com,,IPv6
Cloudflare 1 (security),2606:4700:4700::1112,,security.cloudflare-dns.com,,IPv6
Cloudflare 2 (security),2606:4700:4700::1002,,security.cloudflare-dns.com,,IPv6
Getdnsapi,2a04:b900:0:100::38,,getdnsapi.net,foxZRnIh9gZpWnl+zEiKa0EJ2rdCGroMWm02gaxSc9Q=,IPv6
Google 1,2001:4860:4860::8888,,dns.google,,IPv6
Google 2,2001:4860:4860::8844,,dns.google,,IPv6
Mullvad,2a07:e340::2,,doh.mullvad.net,,IPv6
Mullvad (filtered),2a07:e340::3,,adblock.doh.mullvad.net,,IPv6
Quad9 1,2620:fe::fe,,dns.quad9.net,,IPv6
Quad9 2,2620:fe::9,,dns.quad9.net,,IPv6

# IPv6 (port 443)
Neutopia,2a00:5884:8209::2,443,dns.neutopia.org,wTeXHM8aczvhRSi0cv2qOXkXInoDU+2C+M8MpRyT3OI=,IPv6
